id,attr_flag,state_id,city_code,age,months_since_last_purch,reg_value_per_visit,reg_value_per_item,last_6_value_per_visit,last_6_value_per_item
1,Y,S28,A083,31,3,2090.333333,783.875,4332,866.4
2,Y,S11,A121,69,2,815.7475,815.7475,565.99,565.99
3,Y,S07,A266,33,1,2177.22,544.305,3095.38,773.845
4,Y,S07,A266,28,3,4975.7,497.57,2652.4,139.6
5,Y,S07,A266,26,5,2177.466667,725.8222222,1847,615.6666667
6,N,S34,A157,42,1,3854.475,642.4125,2997.75,1498.875
7,Y,S07,A266,32,2,1932.96,773.184,359.99,359.99
8,Y,S07,A266,30,6,2823,1411.5,0,0
9,Y,S13,A168,34,2,3236.873333,647.3746667,2650.62,530.124
10,Y,S07,A266,47,2,3611.63,902.9075,2629.26,1314.63
11,Y,S07,A266,40,1,2113.9525,563.7206667,2113.9525,563.7206667
14,N,S07,A266,28,2,1942.7825,1554.226,737.985,737.985
22,N,S07,A266,35,3,3954,878.6666667,3954,878.6666667
23,Y,S07,A266,37,0,2024.25,736.0909091,2024.25,736.0909091
35,Y,S19,A246,37,1,1169.08,1169.08,839.16,839.16
37,Y,S01,A246,42,2,1943.5625,1110.607143,1992.083333,1195.25
38,N,S19,A032,48,2,2617.33,747.8085714,2617.33,747.8085714
40,Y,S19,A246,37,5,619.7,247.88,589.4,196.4666667
41,Y,S19,A246,42,4,2001,1000.5,3103,1034.333333
42,Y,S19,A246,32,1,731.995,487.9966667,364.99,182.495
43,Y,S19,A246,41,3,1380.2625,1104.21,1634.5,1089.666667
44,N,S22,A246,46,2,3685.575,1053.021429,5504,1834.666667
45,N,S19,A246,20,1,844.0142857,454.4692308,890.0333333,667.525
47,Y,S19,A246,82,6,2114,1268.4,0,0
49,N,S19,A246,40,1,1362,302.6666667,749,187.25
51,Y,S19,A246,22,1,665,443.3333333,375,375
54,Y,S19,A246,26,2,2203.78,550.945,3524.72,587.4533333
55,N,S19,A246,26,2,1623.93,676.6375,1526.45,508.8166667
58,N,S19,A246,41,1,1177.29,470.916,1713.07,571.0233333
60,N,S19,A246,27,2,1992.77,543.4827273,4171.31,695.2183333
61,Y,S19,A246,31,5,2040.666667,874.5714286,315,315
63,Y,S22,A246,25,2,415.2425,415.2425,786.97,786.97
64,Y,S19,A246,41,6,1949.44,812.2666667,0,0
65,Y,S19,A246,26,5,2476.666667,825.5555556,1784,297.3333333
66,Y,S19,A246,33,2,2757,919,1050,350
67,Y,S19,A246,27,1,2122.5,2122.5,1995,1995
68,Y,S19,A246,45,5,1698.5,849.25,2898,1449
69,N,S19,A246,35,1,1974.89,897.6772727,633.95,316.975
70,Y,S19,A246,33,2,1815.49,1089.294,944.47,944.47
71,Y,S19,A246,36,2,1634.104,907.8355556,2624.26,1312.13
72,Y,S19,A246,34,3,3456.1,1382.44,3262.2,815.55
73,Y,S19,A246,45,1,6598.821429,1399.75,2203,734.3333333
74,Y,S19,A246,32,1,3030.666667,649.4285714,3751.5,682.0909091
75,Y,S19,A246,25,1,1369.88,587.0914286,1224.14,408.0466667
76,Y,S19,A246,33,1,2204,1322.4,2745,1372.5
77,Y,S19,A246,25,0,2260.085,1043.116154,2458.333333,921.875
78,Y,S19,A246,39,2,2396.756667,898.78375,3327.77,1109.256667
79,Y,S19,A246,26,3,1588.65,1059.1,1100,1100
80,Y,S19,A246,45,5,1942,1942,3499,3499
81,N,S19,A246,36,2,2590.323333,1295.161667,2658.47,1329.235
82,Y,S19,A246,35,2,2515.94,838.6466667,679.88,679.88
83,Y,S34,A246,28,1,2799,699.75,5193,1731
85,N,S19,A246,33,0,6274.213333,1176.415,900,450
86,Y,S19,A246,28,2,2428.73,693.9228571,1683.96,561.32
87,Y,S22,A246,32,2,5935.9,659.5444444,8583.07288,699.1307692
88,N,S19,A246,27,0,3211.476667,837.7765217,3116.465,656.0978947
89,N,S19,A246,21,1,4738.12,947.624,4674.24,779.04
90,Y,S19,A246,36,3,1849.5,1849.5,2000,2000
91,N,S19,A187,33,2,1211.58,908.685,2266.74,1133.37
93,Y,S19,A262,30,3,2658.05,1329.025,1098,549
94,N,S19,A246,33,0,1454.1925,581.677,1404.885,561.954
95,Y,S19,A246,44,2,2417.4575,743.8330769,1264.876667,542.09
96,Y,S19,A246,21,2,2168.775,722.925,2325.05,581.2625
97,Y,S19,A381,26,4,2697.55,770.7285714,75,75
98,Y,S25,A151,23,4,2062.1275,824.851,2803,934.3333333
100,Y,S19,A246,32,0,1847.583333,923.7916667,1449.5,966.3333333
101,Y,S09,A372,19,2,1127.1425,644.0814286,1322.37,1322.37
102,Y,S19,A246,45,3,3665.8,916.45,999,999
103,N,S19,A246,27,2,2572.166667,514.4333333,1873.25,312.2083333
104,Y,S19,A246,33,2,5203.575,1734.525,4380,2190
105,Y,S19,A246,37,0,1498.466667,899.08,1748.7,1165.8
107,Y,S19,A350,33,5,4502,1125.5,3004,1502
109,Y,S19,A246,44,3,1984.03,496.0075,1770.06,590.02
112,Y,S19,A246,25,3,1938.716667,1454.0375,1938.716667,1454.0375
113,Y,S19,A246,23,2,2036.5,814.6,2036.5,814.6
116,Y,S19,A246,28,0,3629,1036.857143,3629,1036.857143
118,Y,S19,A246,47,5,1001.5,667.6666667,1001.5,667.6666667
119,Y,S19,A246,47,4,2101,1050.5,2101,1050.5
128,Y,S19,A246,37,4,5994.5,1332.111111,5994.5,1332.111111
130,Y,S19,A246,29,4,3745.5,1070.142857,3745.5,1070.142857
131,Y,S19,A246,50,3,2651,1325.5,2651,1325.5
132,N,S22,A246,32,1,1671,668.4,1671,668.4
138,Y,S19,A246,24,3,2653,884.3333333,2653,884.3333333
140,Y,S19,A246,55,0,4165.755,1388.585,4165.755,1388.585
141,Y,S19,A246,36,3,2276.075,1138.0375,2276.075,1138.0375
142,Y,S19,A246,20,1,1037.41,1037.41,1037.41,1037.41
146,Y,S19,A246,29,1,2997,2956.41,2997,2997
156,Y,S19,A246,27,2,3269.265,934.0757143,3269.265,934.0757143
157,Y,S19,A246,22,2,1927.915,1285.276667,1927.915,1285.276667
158,Y,S19,A246,39,2,3273.25,363.6944444,3273.25,363.6944444
161,Y,S19,A246,30,2,4041.1825,1347.060833,4041.1825,1347.060833
162,N,S19,A246,28,2,735,294,735,294
185,N,S20,A065,43,3,2546.5,1697.666667,1299,1299
187,N,S16,A042,35,0,3326.33,498.9495,4200.495,525.061875
190,Y,S01,A042,39,3,669.65,446.4333333,559.3,559.3
191,N,S16,A042,39,1,2074.452,545.9084211,3401.01,566.835
192,Y,S26,A162,29,4,1193,662.7777778,175,175
193,Y,S32,A212,29,3,1013.725,810.98,1199,1199
194,Y,S16,A042,30,4,7338.333333,2001.363636,7338.333333,2001.363636
195,N,S17,A042,26,1,2726.88,908.96,2726.88,908.96
196,Y,S16,A042,29,4,2721.8,1701.125,3412.333333,2047.4
197,Y,S16,A042,22,1,2895.75,1447.875,2895.75,1447.875
198,Y,S16,A042,31,2,7284.67,1456.934,4776.005,1061.334444
199,Y,S16,A042,29,2,3690.646667,1006.54,4240.97,942.4377778
201,Y,S17,A042,26,2,1538.444,591.7092308,1844.16,526.9028571
203,N,S16,A042,31,2,1471.474,668.8518182,1184.77,592.385
204,Y,S16,A042,26,2,1284,856,499,499
205,Y,S16,A042,40,2,4304.166667,1291.25,690,345
208,Y,S16,A042,45,1,2757.716667,919.2388889,2757.716667,919.2388889
209,Y,S16,A042,24,3,595.255,595.255,995,995
210,N,S16,A042,33,2,1212.0925,606.04625,1071.185,535.5925
211,Y,S16,A042,28,1,2583.035,1033.214,2583.035,1033.214
212,Y,S16,A042,27,4,1238.333333,371.5,2507,501.4
213,Y,S16,A042,28,1,1059.588333,605.4790476,947.265,947.265
215,Y,S16,A042,41,0,1524.25,200.5592105,150,150
216,Y,S16,A042,24,2,2643.925,881.3083333,2643.925,881.3083333
218,Y,S28,A094,25,5,1479.2,739.6,690,690
222,Y,S30,A014,24,6,2453,1226.5,0,0
223,Y,S16,A042,26,2,2031,812.4,1555,777.5
224,Y,S16,A042,32,1,2352.5,784.1666667,1432,716
225,Y,S16,A042,34,2,2918,875.4,2795,2795
226,Y,S16,A042,25,1,1393.495,696.7475,1183.99,1183.99
227,Y,S25,A078,34,4,1842.66,1151.6625,4398,2199
228,Y,S16,A042,24,6,2649.75,1514.142857,0,0
229,Y,S16,A042,31,6,1277,851.3333333,0,0
230,Y,S16,A042,30,3,2265.666667,971,1504,752
231,N,S16,A042,22,0,758.8,344.9090909,802.5,401.25
232,Y,S16,A042,31,2,1350.013333,810.008,1460.02,730.01
233,Y,S16,A042,21,3,730.5,487,662,331
234,Y,S16,A042,29,2,2381.256667,1428.754,1395.77,1395.77
235,Y,S24,A066,27,3,2600.333333,650.0833333,2478,495.6
236,Y,S16,A042,26,2,2491.89,524.6084211,1286.88,285.9733333
237,Y,S16,A042,34,0,1688.9,1125.933333,1699,1699
238,Y,S16,A042,23,5,2751.333333,2063.5,849,849
239,N,S16,A042,23,0,1559.383333,425.2863636,1449.75,414.2142857
240,Y,S16,A042,24,4,2349,2349,699,699
241,Y,S16,A042,30,5,4902.5,1089.444444,8583.07288,1285.857143
242,Y,S16,A042,24,5,1951,975.5,599,599
243,Y,S28,A094,23,4,2492,1068,225,225
244,Y,S16,A042,24,2,3783.5,472.9375,2519,629.75
245,N,S16,A042,22,1,2369.5,947.8,3940,985
246,N,S16,A042,25,3,2421.25,968.5,990,990
247,Y,S16,A042,28,2,2092.434,1046.217,1844.7925,1054.167143
250,N,S16,A042,27,3,3562.5,2375,1100,1100
251,N,S16,A042,26,0,2221.015,888.406,2120.353333,908.7228571
253,N,S16,A042,36,0,3124.084286,1150.978421,3707.616,1158.63
254,Y,S16,A042,31,6,1032.15,1032.15,0,0
255,Y,S16,A042,23,2,1626.655,650.662,1635.01,545.0033333
256,Y,S16,A042,24,3,2601.5,1734.333333,2804,1402
258,Y,S02,A026,22,6,3995.505,1331.835,0,0
260,Y,S16,A042,29,3,3406,681.2,4034.5,672.4166667
262,Y,S16,A042,29,4,4065.65,1161.614286,5293,1764.333333
266,Y,S16,A042,40,4,2750.5,1100.2,1204,602
268,Y,S16,A042,27,2,3194.5,1597.25,749,374.5
269,Y,S16,A042,24,3,1489.5,993,1489.5,993
270,N,S16,A042,25,2,2521.69,1260.845,2065.92,1032.96
271,Y,S07,A266,25,3,3828.005,850.6677778,3828.005,850.6677778
274,Y,S16,A042,26,1,4967.87,764.2876923,4967.87,764.2876923
277,N,S16,A042,28,0,5022,1004.4,5022,1004.4
280,Y,S16,A042,27,1,2314.75,1157.375,2314.75,1157.375
284,Y,S16,A042,20,5,3992.5,2661.666667,3992.5,2661.666667
285,Y,S15,A093,20,2,3975.58,1590.232,3975.58,1590.232
288,Y,S16,A042,31,5,1652,826,1652,826
295,Y,S16,A042,22,3,3249.5,1083.166667,3249.5,1083.166667
304,Y,S16,A042,64,1,1949,433.1111111,1949,433.1111111
305,Y,S16,A042,29,1,3747.5,2956.41,3747.5,3747.5
307,Y,S16,A042,51,2,3739.5,1869.75,3739.5,1869.75
309,Y,S16,A042,25,2,4262.48,852.496,4262.48,852.496
310,N,S16,A042,41,0,2568.09,1123.539375,2568.09,1123.539375
340,N,S02,A155,33,1,3545.2625,709.0525,2082.75,520.6875
341,N,S02,A155,23,1,1317.67,790.602,824.505,549.67
342,N,S02,A155,34,2,1596.76,684.3257143,1421.98,710.99
343,Y,S02,A155,48,5,2498.5,1499.1,2799,2799
347,Y,S02,A155,23,3,1311.133333,1311.133333,99,99
348,Y,S02,A155,23,0,2489.15,622.2875,1598,799
350,Y,S02,A155,22,6,886.3333333,531.8,0,0
351,Y,S02,A327,29,5,1801,900.5,1898,949
352,Y,S02,A327,40,4,2245.2,935.5,2299,2299
353,Y,S02,A327,50,6,3856.8175,560.9916364,0,0
355,Y,S02,A380,43,3,3324,949.7142857,2499,833
356,Y,S02,A155,39,5,4105.85,1119.777273,849,849
357,Y,S02,A155,33,4,2122.583333,707.5277778,914,304.6666667
358,Y,S02,A155,30,6,4451.5,1112.875,0,0
359,Y,S02,A327,34,6,2483.4,827.8,0,0
360,Y,S02,A155,43,1,5795.335,503.9421739,1044.76,522.38
361,Y,S02,A155,30,1,964.3333333,964.3333333,447,447
363,Y,S02,A155,61,6,4141,920.2222222,0,0
364,N,S02,A155,26,3,3378.666667,844.6666667,3378.666667,844.6666667
366,Y,S02,A327,47,5,3775.875,1258.625,3775.875,1258.625
370,Y,S02,A155,25,3,3171.65,704.8111111,3171.65,704.8111111
373,Y,S02,A327,28,1,2384.776667,550.3330769,2384.776667,550.3330769
390,Y,S26,A162,51,4,1316,987,1547,1547
391,N,S28,A095,30,1,2903.05,1451.525,2903.05,1451.525
393,N,S02,A376,26,4,3812.291,1155.239697,4775.5,2387.75
394,Y,S26,A162,29,4,2749.5,549.9,3762,627
395,N,S26,A176,24,1,1946.75,778.7,3988,664.6666667
396,Y,S26,A162,46,1,1488.415,992.2766667,445.73,445.73
398,N,S30,A006,29,0,2324,1549.333333,2101.5,1401
400,Y,S26,A162,27,0,2681.505,670.37625,2681.505,670.37625
402,Y,S26,A162,23,0,1246,1246,1595,1595
403,N,S26,A162,36,0,2734.5,911.5,1872,624
406,Y,S26,A162,21,3,1835.608333,1376.70625,1799,1799
407,Y,S26,A162,28,2,4560.605,570.075625,5430.21,493.6554545
408,Y,S26,A162,44,0,2924.836667,1096.81375,2299,2299
409,Y,S26,A162,41,5,1193.576667,447.59125,595,595
411,Y,S26,A162,28,1,1906,635.3333333,1690,1690
412,Y,S26,A162,29,3,3922.05,1568.82,399,399
413,N,S26,A162,25,1,2648.003333,1588.802,1799.01,899.505
414,N,S34,A003,20,1,1166.144,647.8577778,1079.155,719.4366667
415,Y,S26,A176,20,4,2639.75,1979.8125,3698,1849
416,Y,S34,A091,40,2,4258.285,1419.428333,1590.77,397.6925
417,N,S26,A162,27,2,1462.81,1462.81,1462.81,1462.81
424,N,S26,A162,47,4,1389,555.6,1498,749
425,Y,S07,A266,45,1,1904.77,692.6436364,6520.08,931.44
426,Y,S07,A266,33,2,4627.37,2956.41,4627.37,3084.913333
428,Y,S01,A266,28,4,1218,609,637,212.3333333
429,Y,S07,A266,32,3,3253.603333,887.3463636,2250,2250
430,Y,S07,A266,26,3,2434.02,811.34,2999,2999
431,Y,S07,A266,50,2,1216.475,1216.475,1216.475,1216.475
432,Y,S07,A266,38,1,3150.4175,1145.606364,2196.38,1464.253333
434,Y,S07,A266,33,6,1382,691,0,0
435,N,S07,A266,31,2,1603.825,712.8111111,2146.65,858.66
436,Y,S07,A266,34,4,1333.666667,571.5714286,2149,716.3333333
437,N,S07,A266,37,0,2427.4,1213.7,3385,1692.5
439,N,S01,A266,27,0,2161.35,785.9454545,1815.8,605.2666667
440,Y,S07,A266,50,4,4748.5,2374.25,4300,3778.497
441,Y,S01,,22,4,1624.5,1624.5,1550,1550
442,Y,S07,A266,33,3,2335.175,1334.385714,3550,3550
443,N,S11,A121,36,1,999.8485714,499.9242857,1185.526,538.8754545
444,Y,S07,A266,27,1,1980.883333,660.2944444,1436.325,359.08125
446,Y,S07,A266,32,5,3578.5,1431.4,2059,686.3333333
456,Y,S07,A266,40,2,3078.615,1026.205,3078.615,1026.205
459,Y,S11,A139,31,4,2149.5,2149.5,2149.5,2149.5
461,Y,S11,A121,38,4,2051.5,820.6,2051.5,820.6
462,Y,S07,A266,29,3,4296.5,1227.571429,4296.5,1227.571429
473,Y,S07,A266,27,3,2225,494.4444444,2225,494.4444444
485,Y,S28,A083,30,3,1997,499.25,1403,280.6
486,Y,S28,A083,32,0,4751.5,1357.571429,4751.5,1357.571429
487,N,S28,A083,41,1,4805.72,706.7235294,6336.866667,760.424
489,Y,S28,A083,28,0,2041.67,1531.2525,1697.505,1131.67
490,Y,S28,A083,41,5,5869,690.4705882,4563,651.8571429
491,N,S01,A094,40,1,4002.490455,564.4537821,3247.746667,573.1317647
493,N,S28,A083,44,0,3594.96,998.6,1704,852
494,Y,S28,A083,30,3,1725,575,1725,575
496,Y,S25,A226,35,5,2868.6275,819.6078571,3002,750.5
498,Y,S28,A082,21,5,2302,511.5555556,2755,393.5714286
499,Y,S28,A083,29,2,3468.785,1156.261667,3468.785,1156.261667
500,Y,S34,,24,2,1353.5,541.4,704,352
501,N,S28,A083,25,2,2333.2375,777.7458333,523.95,523.95
502,Y,S28,A083,36,2,1620.933333,1215.7,2999,2999
503,Y,S28,A083,40,5,4035.9,1345.3,545,545
504,N,S28,A083,43,2,1815.9375,726.375,3630.75,605.125
505,Y,S28,A083,28,4,6332,633.2,7973,1139
506,Y,S28,A083,32,3,2002.5,572.1428571,1003,334.3333333
507,N,S28,A083,20,1,2047.17,614.151,799,799
508,Y,S28,A083,38,3,3622.5,905.625,2243,560.75
509,Y,S28,A083,45,2,1356.885,904.59,1689.77,1689.77
510,N,S15,A118,29,1,2138.25,950.3333333,2186,819.75
511,Y,S28,A083,39,6,1200.5,400.1666667,0,0
512,Y,S28,A083,46,4,2571.5,1285.75,3444,1148
516,Y,S28,A083,29,0,2049,1024.5,2294,1147
520,Y,S28,A083,26,3,4596.25,835.6818182,4596.25,835.6818182
521,Y,S28,A083,25,3,3599,2956.41,3599,3599
526,Y,S28,A083,36,3,3706.5,673.9090909,3706.5,673.9090909
527,N,S28,A083,33,2,2481.463333,744.439,2481.463333,744.439
540,Y,S19,A246,48,2,7342.048833,1861.573636,8583.07288,1861.573636
542,Y,S19,A350,50,2,2848.5,1899,4898,2449
543,N,S19,A262,36,3,1091.46,779.6142857,795,397.5
544,Y,S19,A246,24,4,2913.666667,1456.833333,4350,2175
545,Y,S22,A246,30,4,2149.875,614.25,3100.5,1033.5
546,Y,S19,A246,42,6,2241,517.1538462,0,0
547,N,S19,A246,48,0,1843.116667,674.3109756,1578.133333,526.0444444
549,Y,S19,A246,36,5,2808.666667,1203.714286,5127,1025.4
550,N,S19,A262,31,0,888.5,592.3333333,275,275
551,Y,S19,A350,48,2,2465.265,547.8366667,2465.265,547.8366667
552,Y,S19,A246,29,6,3597.333333,899.3333333,0,0
556,Y,S19,A246,30,3,2382,1361.142857,2259.5,1129.75
557,Y,S19,A246,38,2,1004.94,502.47,823.37,411.685
558,Y,S19,A246,29,3,947,710.25,675,675
559,Y,S19,A246,41,2,863.58,575.72,1432.16,716.08
560,Y,S19,A246,23,5,1895.765,758.306,799,799
561,Y,S19,A246,36,3,1807.15,361.43,1207.3,402.4333333
562,N,S19,A246,31,0,1601.877778,626.8217391,1407.2,351.8
563,Y,S19,A246,32,5,2226.666667,1670,4500,3778.497
564,Y,S19,A246,20,5,1544.75,617.9,998,499
565,Y,S19,A246,21,2,762.5,762.5,825,825
566,Y,S19,A350,37,5,1994.04,1246.275,225,225
567,N,S19,A246,41,2,2395.29,359.2935,1582.485,263.7475
568,Y,S19,A246,23,5,850.5,283.5,423,141
569,Y,S19,A246,29,5,1107.54,553.77,192,96
570,N,S19,A246,41,1,2248.02,749.34,2718.04,1359.02
571,Y,S19,A246,25,4,2833.8,1700.28,2500,2500
572,Y,S19,A246,28,2,1876.333333,703.625,2904,726
573,Y,S19,A246,52,3,2169.81,382.9076471,804,402
577,Y,S19,A246,62,5,3961.5,1584.6,3961.5,1584.6
581,Y,S19,A246,31,3,1869.333333,560.8,1703,567.6666667
582,Y,S19,A246,30,4,1499,1499,2399,2399
583,Y,S19,A246,50,1,4555.5,1301.571429,4555.5,1301.571429
587,Y,S19,A246,27,2,4119.185,823.837,4119.185,823.837
588,N,S19,A246,37,2,2363.986667,787.9955556,2363.986667,787.9955556
589,N,S19,A246,30,0,2433.988,608.497,2433.988,608.497
596,Y,S19,A297,53,3,2250,642.8571429,2590,1295
